Vision_Model,Text_Model,Projection,Alignment_Mean,Alignment_STD,Intra_cluster,Inter_cluster,Silhouette,Wv_path,Wt_path
MobileNetV3,RoBERTa,random,-0.08012477596831784,0.07958446296544495,226.84471313181305,226.82485001615544,-0.15796747355418841,projection_matrices/Wv_MobileNetV3_RoBERTa_random.npy,projection_matrices/Wt_MobileNetV3_RoBERTa_random.npy
MobileNetV3,RoBERTa,wcca,0.5598196983337402,0.12858955562114716,10.952827453613281,11.57414436340332,-0.1777910590171814,projection_matrices/Wv_MobileNetV3_RoBERTa_wcca.npy,projection_matrices/Wt_MobileNetV3_RoBERTa_wcca.npy
MobileNetV3,RoBERTa,cpca,0.13061752915382385,0.08639392256736755,15.621346473693848,16.049591064453125,-0.15740959346294403,projection_matrices/Wv_MobileNetV3_RoBERTa_cpca.npy,projection_matrices/Wt_MobileNetV3_RoBERTa_cpca.npy
MobileNetV3,BERT,random,0.008762020491522342,0.08075770028210805,203.56707377601802,203.23052137249454,-0.15593465165866138,projection_matrices/Wv_MobileNetV3_BERT_random.npy,projection_matrices/Wt_MobileNetV3_BERT_random.npy
MobileNetV3,BERT,wcca,0.4947192668914795,0.12578238546848297,10.095176696777344,11.783711433410645,-0.18867383897304535,projection_matrices/Wv_MobileNetV3_BERT_wcca.npy,projection_matrices/Wt_MobileNetV3_BERT_wcca.npy
MobileNetV3,BERT,cpca,0.08306945115327835,0.11345065385103226,13.77228832244873,15.015995979309082,-0.16269391775131226,projection_matrices/Wv_MobileNetV3_BERT_cpca.npy,projection_matrices/Wt_MobileNetV3_BERT_cpca.npy
MobileNetV3,GPT2,random,-0.0038236172446863338,0.062425779377821095,2220.0344922102418,2219.6957137198337,-0.3529861394072698,projection_matrices/Wv_MobileNetV3_GPT2_random.npy,projection_matrices/Wt_MobileNetV3_GPT2_random.npy
MobileNetV3,GPT2,wcca,0.5654761791229248,0.1300390064716339,202.47935485839844,202.56588745117188,-0.37192824482917786,projection_matrices/Wv_MobileNetV3_GPT2_wcca.npy,projection_matrices/Wt_MobileNetV3_GPT2_wcca.npy
MobileNetV3,GPT2,cpca,0.17364774644374847,0.15516066551208496,207.76931762695312,207.87576293945312,-0.36736202239990234,projection_matrices/Wv_MobileNetV3_GPT2_cpca.npy,projection_matrices/Wt_MobileNetV3_GPT2_cpca.npy
PVT,RoBERTa,random,0.01415320794467987,0.09378144557290752,276.8057336165101,276.7704034365058,-0.16156335117302814,projection_matrices/Wv_PVT_RoBERTa_random.npy,projection_matrices/Wt_PVT_RoBERTa_random.npy
PVT,RoBERTa,wcca,0.25686731934547424,0.10542409867048264,17.59665298461914,18.165485382080078,-0.17202402651309967,projection_matrices/Wv_PVT_RoBERTa_wcca.npy,projection_matrices/Wt_PVT_RoBERTa_wcca.npy
PVT,RoBERTa,cpca,0.03260176628828049,0.09052447229623795,20.409578323364258,20.867637634277344,-0.15758442878723145,projection_matrices/Wv_PVT_RoBERTa_cpca.npy,projection_matrices/Wt_PVT_RoBERTa_cpca.npy
PVT,BERT,random,-0.03376304236498527,0.0946956328042543,273.1866822039415,272.6788656897309,-0.16612794026346686,projection_matrices/Wv_PVT_BERT_random.npy,projection_matrices/Wt_PVT_BERT_random.npy
PVT,BERT,wcca,0.2265283763408661,0.10919065773487091,16.256101608276367,17.81978416442871,-0.18437467515468597,projection_matrices/Wv_PVT_BERT_wcca.npy,projection_matrices/Wt_PVT_BERT_wcca.npy
PVT,BERT,cpca,0.05384877324104309,0.10959026962518692,18.21124839782715,19.518226623535156,-0.17575080692768097,projection_matrices/Wv_PVT_BERT_cpca.npy,projection_matrices/Wt_PVT_BERT_cpca.npy
PVT,GPT2,random,0.0390929656173898,0.09084142404599702,2367.1438058144736,2367.4995907873067,-0.3558948217099114,projection_matrices/Wv_PVT_GPT2_random.npy,projection_matrices/Wt_PVT_GPT2_random.npy
PVT,GPT2,wcca,0.259168416261673,0.10549823939800262,205.7949981689453,206.00592041015625,-0.3634590804576874,projection_matrices/Wv_PVT_GPT2_wcca.npy,projection_matrices/Wt_PVT_GPT2_wcca.npy
PVT,GPT2,cpca,0.05411471053957939,0.1392829269170761,209.4140167236328,209.58367919921875,-0.3586483597755432,projection_matrices/Wv_PVT_GPT2_cpca.npy,projection_matrices/Wt_PVT_GPT2_cpca.npy
ResNet50,RoBERTa,random,-0.02416164640027447,0.0870051873260561,220.50576876040543,220.60286731243764,-0.15268715368986424,projection_matrices/Wv_ResNet50_RoBERTa_random.npy,projection_matrices/Wt_ResNet50_RoBERTa_random.npy
ResNet50,RoBERTa,wcca,0.5300722122192383,0.10345394909381866,10.943500518798828,11.557394981384277,-0.1753304898738861,projection_matrices/Wv_ResNet50_RoBERTa_wcca.npy,projection_matrices/Wt_ResNet50_RoBERTa_wcca.npy
ResNet50,RoBERTa,cpca,0.09959045052528381,0.087441086769104,15.25539493560791,15.674888610839844,-0.16089805960655212,projection_matrices/Wv_ResNet50_RoBERTa_cpca.npy,projection_matrices/Wt_ResNet50_RoBERTa_cpca.npy
