dataset,model,method,dim,scenario,self_retrieval,topk_overlap,rank_corr,trustworthiness
Flickr8k,resnet50,full,2048,full,0.9998764058830799,1.0,1.0,0.9999999984695175
Flickr8k,resnet50,pca,512,reduced,0.9998764058830799,1.0,1.0,0.9999999984695175
Flickr8k,resnet50,pca,256,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,resnet50,pca,128,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,resnet50,pca,64,reduced,0.9998764058830799,1.0,1.0,0.9999999984695175
Flickr8k,resnet50,pca,32,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,resnet50,pca,16,reduced,0.9998764058830799,1.0,1.0,0.9999999984695175
Flickr8k,resnet50,svd,512,reduced,0.9998764058830799,1.0,1.0,0.9999999984695175
Flickr8k,resnet50,svd,256,reduced,0.9998764058830799,1.0,1.0,0.9999999984695175
Flickr8k,resnet50,svd,128,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,resnet50,svd,64,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,resnet50,svd,32,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,resnet50,svd,16,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,resnet50,grp,512,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,resnet50,grp,256,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,resnet50,grp,128,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,resnet50,grp,64,reduced,0.9998764058830799,1.0,1.0,0.999999996939035
Flickr8k,resnet50,grp,32,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,resnet50,grp,16,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,resnet50,umap,512,reduced,0.7850698306760598,1.0,1.0,1.0
Flickr8k,resnet50,umap,256,reduced,0.8405635891731553,1.0,1.0,1.0
Flickr8k,resnet50,umap,128,reduced,0.9269558769002596,1.0,1.0,1.0
Flickr8k,resnet50,umap,64,reduced,0.9676183413669509,1.0,1.0,1.0
Flickr8k,resnet50,umap,32,reduced,0.9845507353849957,1.0,1.0,1.0
Flickr8k,resnet50,umap,16,reduced,0.9898652824125571,1.0,1.0,1.0
Flickr8k,mobilenet_v3,full,960,full,0.9998764058830799,1.0,1.0,0.9999999984695175
Flickr8k,mobilenet_v3,pca,512,reduced,0.9998764058830799,1.0,1.0,0.9999999984695175
Flickr8k,mobilenet_v3,pca,256,reduced,0.9998764058830799,1.0,1.0,0.999999996939035
Flickr8k,mobilenet_v3,pca,128,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,mobilenet_v3,pca,64,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,mobilenet_v3,pca,32,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,mobilenet_v3,pca,16,reduced,0.9998764058830799,1.0,1.0,0.9999999984695175
Flickr8k,mobilenet_v3,svd,512,reduced,0.9998764058830799,1.0,1.0,0.9999999984695175
Flickr8k,mobilenet_v3,svd,256,reduced,0.9998764058830799,1.0,1.0,0.999999996939035
Flickr8k,mobilenet_v3,svd,128,reduced,0.9998764058830799,1.0,1.0,0.999999996939035
Flickr8k,mobilenet_v3,svd,64,reduced,0.9998764058830799,1.0,1.0,0.9999999984695175
Flickr8k,mobilenet_v3,svd,32,reduced,0.9998764058830799,1.0,1.0,0.9999999984695175
Flickr8k,mobilenet_v3,svd,16,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,mobilenet_v3,grp,512,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,mobilenet_v3,grp,256,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,mobilenet_v3,grp,128,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,mobilenet_v3,grp,64,reduced,0.9998764058830799,1.0,1.0,0.9999999984695175
Flickr8k,mobilenet_v3,grp,32,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,mobilenet_v3,grp,16,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,mobilenet_v3,umap,512,reduced,0.8170807069583488,1.0,1.0,1.0
Flickr8k,mobilenet_v3,umap,256,reduced,0.8630577184526017,1.0,1.0,1.0
Flickr8k,mobilenet_v3,umap,128,reduced,0.9415399826968236,1.0,1.0,1.0
Flickr8k,mobilenet_v3,umap,64,reduced,0.9770114942528736,1.0,1.0,1.0
Flickr8k,mobilenet_v3,umap,32,reduced,0.9894945000617971,1.0,1.0,1.0
Flickr8k,mobilenet_v3,umap,16,reduced,0.9948090470893586,1.0,1.0,1.0
Flickr8k,vit,full,768,full,0.9998764058830799,1.0,1.0,0.999999996939035
Flickr8k,vit,pca,512,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,vit,pca,256,reduced,0.9998764058830799,1.0,1.0,0.9999999984695175
Flickr8k,vit,pca,128,reduced,0.9998764058830799,1.0,1.0,0.9999999984695175
Flickr8k,vit,pca,64,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,vit,pca,32,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,vit,pca,16,reduced,0.9998764058830799,1.0,1.0,0.9999999984695175
Flickr8k,vit,svd,512,reduced,0.9998764058830799,1.0,1.0,0.9999999984695175
Flickr8k,vit,svd,256,reduced,0.9998764058830799,1.0,1.0,0.9999999984695175
Flickr8k,vit,svd,128,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,vit,svd,64,reduced,0.9998764058830799,1.0,1.0,0.999999996939035
Flickr8k,vit,svd,32,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,vit,svd,16,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,vit,grp,512,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,vit,grp,256,reduced,0.9998764058830799,1.0,1.0,0.9999999984695175
Flickr8k,vit,grp,128,reduced,0.9998764058830799,1.0,1.0,0.9999999984695175
Flickr8k,vit,grp,64,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,vit,grp,32,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,vit,grp,16,reduced,0.9998764058830799,1.0,1.0,0.9999999984695175
Flickr8k,vit,umap,512,reduced,0.6776665430725497,1.0,1.0,1.0
Flickr8k,vit,umap,256,reduced,0.753676924978371,1.0,1.0,1.0
Flickr8k,vit,umap,128,reduced,0.8683722654801631,1.0,1.0,1.0
Flickr8k,vit,umap,64,reduced,0.9337535533308614,1.0,1.0,1.0
Flickr8k,vit,umap,32,reduced,0.9708317884068718,1.0,1.0,1.0
Flickr8k,vit,umap,16,reduced,0.992584352984798,1.0,1.0,1.0
Flickr8k,deit,full,768,full,0.9998764058830799,1.0,1.0,0.9999999923475873
Flickr8k,deit,pca,512,reduced,0.9998764058830799,1.0,1.0,0.9999999984695175
Flickr8k,deit,pca,256,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,deit,pca,128,reduced,0.9998764058830799,1.0,1.0,0.9999999984695175
Flickr8k,deit,pca,64,reduced,0.9998764058830799,1.0,1.0,0.999999996939035
Flickr8k,deit,pca,32,reduced,0.9998764058830799,1.0,1.0,0.9999999984695175
Flickr8k,deit,pca,16,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,deit,svd,512,reduced,0.9998764058830799,1.0,1.0,0.9999999984695175
Flickr8k,deit,svd,256,reduced,0.9998764058830799,1.0,1.0,0.9999999984695175
Flickr8k,deit,svd,128,reduced,0.9998764058830799,1.0,1.0,0.9999999984695175
Flickr8k,deit,svd,64,reduced,0.9998764058830799,1.0,1.0,0.9999999984695175
Flickr8k,deit,svd,32,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,deit,svd,16,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,deit,grp,512,reduced,0.9998764058830799,1.0,1.0,0.999999996939035
Flickr8k,deit,grp,256,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,deit,grp,128,reduced,0.9998764058830799,1.0,1.0,0.999999996939035
Flickr8k,deit,grp,64,reduced,0.9998764058830799,1.0,1.0,0.9999999954085524
Flickr8k,deit,grp,32,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,deit,grp,16,reduced,0.9998764058830799,1.0,1.0,0.999999996939035
Flickr8k,deit,umap,512,reduced,0.7591150661228525,1.0,1.0,1.0
Flickr8k,deit,umap,256,reduced,0.8241255716227908,1.0,1.0,1.0
Flickr8k,deit,umap,128,reduced,0.9338771474477815,1.0,1.0,1.0
Flickr8k,deit,umap,64,reduced,0.9746632060313929,1.0,1.0,1.0
Flickr8k,deit,umap,32,reduced,0.9906068471140773,1.0,1.0,1.0
Flickr8k,deit,umap,16,reduced,0.9936967000370782,1.0,1.0,1.0
Flickr8k,clip_vision,full,768,full,0.9998764058830799,1.0,1.0,0.9999999984695175
Flickr8k,clip_vision,pca,512,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,clip_vision,pca,256,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,clip_vision,pca,128,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,clip_vision,pca,64,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,clip_vision,pca,32,reduced,0.9998764058830799,1.0,1.0,0.9999999984695175
Flickr8k,clip_vision,pca,16,reduced,0.9998764058830799,1.0,1.0,0.999999996939035
Flickr8k,clip_vision,svd,512,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,clip_vision,svd,256,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,clip_vision,svd,128,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,clip_vision,svd,64,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,clip_vision,svd,32,reduced,0.9998764058830799,1.0,1.0,0.999999996939035
Flickr8k,clip_vision,svd,16,reduced,0.9998764058830799,1.0,1.0,0.999999996939035
Flickr8k,clip_vision,grp,512,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,clip_vision,grp,256,reduced,0.9998764058830799,1.0,1.0,0.999999996939035
Flickr8k,clip_vision,grp,128,reduced,0.9998764058830799,1.0,1.0,0.9999999984695175
Flickr8k,clip_vision,grp,64,reduced,0.9998764058830799,1.0,1.0,0.9999999984695175
Flickr8k,clip_vision,grp,32,reduced,0.9998764058830799,1.0,1.0,0.9999999984695175
Flickr8k,clip_vision,grp,16,reduced,0.9998764058830799,1.0,1.0,1.0
Flickr8k,clip_vision,umap,512,reduced,0.7405759485848473,1.0,1.0,1.0
Flickr8k,clip_vision,umap,256,reduced,0.8084291187739464,1.0,1.0,1.0
Flickr8k,clip_vision,umap,128,reduced,0.9233716475095786,1.0,1.0,1.0
Flickr8k,clip_vision,umap,64,reduced,0.9600791002348288,1.0,1.0,1.0
Flickr8k,clip_vision,umap,32,reduced,0.9760227413175133,1.0,1.0,1.0
Flickr8k,clip_vision,umap,16,reduced,0.985910270671116,1.0,1.0,1.0
